Butler,600,120
Stevo,560,100
South,535,205
Snow,480,220
Collingwood,662,244
Grey,700,317
Van Mildert,570,259
Aidans,518,336
Trevs,600,310
Mary's,653,375
Cuth's,658,561
Castle,670,748
Hatfield,728,709
Chad's,715,646
John's,688,596
Hild Bede,460,863
